sep=,
DeviceTag:,DEMO6_4,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.9.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2025-02-09 22:14:52.177 -0600,,,,,,,,,,,,,,,,,
 2025,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
135, 470618788, 0.39100567, 0.40908417, 0.6406284, 0.5190056, -0.105207995, 0.005264736, 0.03201866
136, 470635455, 0.39097303, 0.4090354, 0.6406271, 0.51907015, -0.083862506, -0.023149796, 0.079553604
137, 470652122, 0.39101323, 0.40910596, 0.64056456, 0.51906145, -0.062454212, -0.032244314, 0.04695797
138, 470668789, 0.39110002, 0.4092719, 0.64045274, 0.51900333, -0.056169253, -0.030361554, -0.035305023
139, 470685456, 0.39124846, 0.40955484, 0.6403044, 0.5188514, 0.01509897, -0.06431239, -0.03971386
140, 470702123, 0.39131442, 0.40981382, 0.64019305, 0.5187346, 0.024612576, 0.016578738, -0.029373169
141, 470718790, 0.3912171, 0.4098514, 0.640173, 0.5188029, -0.11015188, 0.06548606, 0.026996613
142, 470735457, 0.3911231, 0.4098763, 0.64016604, 0.5188627, -0.089140765, -0.06281083, -0.005013466
143, 470752124, 0.39105126, 0.4099216, 0.6401318, 0.5189233, -0.096839, -0.03652235, 0.016383171
144, 470768791, 0.39107776, 0.41004717, 0.64002985, 0.5189299, -0.09337455, 0.031332605, 0.0672884
145, 470785458, 0.39115375, 0.41022006, 0.63988626, 0.5189131, -0.07033908, 0.043118443, 0.05575943
146, 470802125, 0.3912452, 0.41042197, 0.63974583, 0.5188575, -0.02366421, 0.033282645, 0.034638405
147, 470818792, 0.39129043, 0.41049576, 0.63965636, 0.51887536, -0.08084173, 0.055593707, 0.105793
148, 470835459, 0.39128712, 0.4104912, 0.6395933, 0.5189592, -0.14162205, -0.038005583, 0.05115795
149, 470852126, 0.39132583, 0.4104761, 0.6395042, 0.5190518, -0.12378639, -0.0090083545, 0.045977592
150, 470868793, 0.39136264, 0.4104386, 0.6394137, 0.5191651, -0.11555798, 0.031992864, 0.021493912
151, 470885460, 0.39146358, 0.41043994, 0.6392738, 0.5192602, -0.10115481, 0.0178284, 0.009875298
152, 470902127, 0.3915704, 0.4104422, 0.63913554, 0.51934814, -0.114683606, 0.04024507, 0.046372414
153, 470918794, 0.39169776, 0.41045657, 0.6389847, 0.5194264, -0.072048284, -0.02591655, 0.034118652
154, 470935461, 0.39189798, 0.41051614, 0.6387799, 0.51947993, -0.073929146, -0.03783996, 0.058153152
155, 470952128, 0.39209992, 0.41055417, 0.63857704, 0.5195469, -0.08547268, -0.008020908, 0.015239716
156, 470968795, 0.39228955, 0.41056418, 0.638385, 0.5196321, -0.14750536, 0.035061136, -0.0030412674
157, 470985462, 0.39249888, 0.41052914, 0.63818383, 0.5197489, -0.118675545, 0.07113724, 0.06775665
158, 471002129, 0.39269456, 0.41045097, 0.6379844, 0.5199074, -0.12079802, 0.03434947, 0.024007797
159, 471018796, 0.39294508, 0.41043064, 0.6377864, 0.5199771, -0.040979087, 0.04511162, 0.038393974
160, 471035463, 0.393041, 0.41034362, 0.63770854, 0.52006865, -0.017085778, 0.047336355, 0.030709267
161, 471052130, 0.39245513, 0.41033775, 0.6382418, 0.5198618, -1.0569067, -0.26878875, -0.53974056
162, 471068797, 0.39178148, 0.41047922, 0.6390531, 0.519261, -0.8714292, -0.23096164, 0.0070590973
163, 471085464, 0.3909705, 0.41056263, 0.6400237, 0.5186104, -0.5403229, -0.52079505, -0.207757
164, 471102131, 0.3897946, 0.4107313, 0.64112276, 0.518004, -1.2716058, -0.21669815, -0.50076675
165, 471118798, 0.38937607, 0.4113042, 0.64198405, 0.51679647, -0.46683943, -0.4675909, 0.4396
166, 471135465, 0.38821167, 0.41155526, 0.643109, 0.51607317, -1.1537318, -0.32582188, -0.52113056
167, 471152132, 0.38747773, 0.41189492, 0.6440323, 0.515202, -0.09283052, 0.25520965, 0.51055527
168, 471168799, 0.38626575, 0.41113517, 0.6453991, 0.5150082, -0.25158417, 0.26878864, 1.0791044
169, 471185466, 0.38539922, 0.41094288, 0.64615464, 0.5148636, 0.016810857, -0.78486, 0.51547337
170, 471202133, 0.3847831, 0.41160986, 0.64687794, 0.5138822, 0.1125904, -0.021892646, 0.52438736
171, 471218800, 0.38342527, 0.41183975, 0.6478368, 0.5135048, 0.42734715, 0.12169979, -0.18305492
172, 471235467, 0.381551, 0.4115421, 0.64908, 0.5135698, -0.9645804, -0.47532043, 0.024458885
173, 471252134, 0.38024497, 0.41108298, 0.6499135, 0.5138521, -1.9704424, -1.1649507, 0.45466328
174, 471268801, 0.37959206, 0.41030797, 0.65017843, 0.51461846, -2.640485, -0.8821827, 0.45191383
175, 471285468, 0.3795037, 0.40928662, 0.64990216, 0.5158445, -1.8731767, -0.05436975, 0.22721767
176, 471302135, 0.37949067, 0.40790066, 0.64950716, 0.51744676, -1.2160497, 0.69090325, -0.39092636
177, 471318802, 0.37889162, 0.4059546, 0.64969856, 0.5191729, -0.7162513, 0.5982541, -1.1328936
178, 471335469, 0.3778864, 0.40410206, 0.6504188, 0.52044743, -0.0036086168, -0.20771909, -1.1766405
179, 471352136, 0.3770717, 0.4030886, 0.6511488, 0.5209114, 0.5153623, -0.60396373, -0.652051
180, 471368803, 0.37619278, 0.4026453, 0.6519875, 0.52084076, 0.46666375, -0.07798367, -0.3538084
181, 471385470, 0.37510422, 0.4022384, 0.65316534, 0.5204642, 0.28911513, 0.10330389, 0.12764454
182, 471402137, 0.37388346, 0.4018228, 0.6545643, 0.51990575, -0.010305735, -0.18001689, 0.36818123
183, 471418804, 0.37291607, 0.4019115, 0.6558101, 0.5189612, -0.16533476, -0.119344965, 0.13046932
184, 471435471, 0.37155402, 0.40173063, 0.6573021, 0.51819, -0.33555487, 0.21166822, 0.0493927
185, 471452138, 0.3696811, 0.40117446, 0.65910816, 0.51766604, -0.43846425, -0.1613939, 0.18994236
186, 471468805, 0.36791742, 0.40082628, 0.66079986, 0.5170352, -0.38441256, -0.6646249, 0.5454092
187, 471485472, 0.3667515, 0.40111294, 0.66202897, 0.51606804, -0.23801693, -0.8655205, 0.719944
188, 471502139, 0.3659292, 0.40190881, 0.66292727, 0.51487803, -0.25282446, -0.42106834, 0.46121216
189, 471518806, 0.36535102, 0.40303573, 0.6637571, 0.5133364, -0.21693608, -0.35404754, 0.27794647
190, 471535473, 0.36450142, 0.40423062, 0.6647714, 0.51168555, -0.2548231, 0.12478561, -0.013056755
191, 471552140, 0.36283445, 0.40498063, 0.6663303, 0.5102477, -0.109388135, 0.35061327, -0.050807953
192, 471568807, 0.3603586, 0.4052657, 0.6684338, 0.5090231, -0.03835214, 0.14477393, -0.24965763
193, 471585474, 0.3574385, 0.40522817, 0.67088413, 0.5078869, -0.22318015, -0.08364112, 0.045633316
194, 471602141, 0.35433543, 0.4050193, 0.67345285, 0.50682724, -0.59747136, -0.7057371, 0.29052734
195, 471618808, 0.35188612, 0.40536007, 0.6754996, 0.5055359, -0.8887678, -1.271204, 0.6608591
196, 471635475, 0.34972215, 0.40592614, 0.6772456, 0.50424576, -1.1493615, -0.58797026, 0.68266106
197, 471652142, 0.34736055, 0.40595892, 0.6790318, 0.50344855, -1.1038822, -0.3947193, 0.5452204
198, 471668809, 0.3451601, 0.40592676, 0.68065596, 0.5027945, -0.83762753, -0.61383754, 0.016993523
199, 471685476, 0.34305114, 0.4058162, 0.68222636, 0.50219834, -0.8681321, -0.36455488, 0.01667595
200, 471702143, 0.34062573, 0.4051701, 0.683986, 0.5019773, -0.7814053, -0.38241905, 0.41429043
201, 471718810, 0.33830643, 0.40451038, 0.6856847, 0.5017603, -0.484524, -0.89680684, 0.76326084
202, 471735477, 0.33655682, 0.4044172, 0.6869897, 0.50122666, -0.31661102, -1.2155769, 0.85675335
203, 471752144, 0.33565643, 0.4052102, 0.6877736, 0.5001138, -0.5480026, -1.2518333, 0.5172281
204, 471768811, 0.33528107, 0.40661734, 0.6881356, 0.49872342, -1.1834046, -1.0320516, -0.14125824
205, 471785478, 0.33529794, 0.4085356, 0.68825084, 0.49698249, -1.6001008, -0.86158746, -0.43875122
206, 471802145, 0.33541894, 0.41058692, 0.68819827, 0.49528039, -1.7150918, -0.4105433, -0.4290905
207, 471818812, 0.33569252, 0.4126498, 0.68812674, 0.4934765, -1.410845, 0.08170829, -0.079372406
208, 471835479, 0.3359202, 0.41475976, 0.6881063, 0.4915778, -0.97135454, 0.27068123, -0.21663666
209, 471852146, 0.3358976, 0.4170013, 0.6882748, 0.4894564, -0.526489, 0.51657635, -0.49479008
210, 471868813, 0.33534116, 0.41906753, 0.6889736, 0.487084, -0.27709952, 0.5777196, -0.25973988
211, 471885480, 0.33417442, 0.42071193, 0.6902888, 0.48459986, -0.1413239, 0.15015231, 0.00434494
212, 471902147, 0.33278635, 0.42239186, 0.6918886, 0.48180452, -0.21730958, -0.026111789, 0.29742336
213, 471918814, 0.3310106, 0.42403853, 0.69385, 0.47875082, -0.24788436, -0.077430815, 0.21132374
214, 471935481, 0.32900232, 0.42580688, 0.6960244, 0.47539768, -0.15094322, -0.16460668, -0.14607716
215, 471952148, 0.32674685, 0.42754596, 0.69843155, 0.47184888, -0.17893508, -0.21337597, -0.24974537
216, 471968815, 0.32427314, 0.42923036, 0.7010465, 0.46813333, -0.57177633, -0.3200862, -0.30869007
217, 471985482, 0.32167417, 0.43093443, 0.7037868, 0.46423277, -0.99631214, -0.46708542, -0.50594425
218, 472002149, 0.3190858, 0.43277067, 0.7064963, 0.46017778, -1.0660101, -0.205646, -0.5177765
219, 472018816, 0.31685874, 0.4351187, 0.7090213, 0.45559642, -0.6186872, -0.28567716, -0.68542767
220, 472035483, 0.31508076, 0.43800747, 0.711291, 0.45049483, -0.30593827, -0.24709882, -0.49790382
221, 472052150, 0.3132593, 0.44113272, 0.71361494, 0.445007, -0.047685146, -0.70408815, -0.40510082
222, 472068817, 0.31162822, 0.44476226, 0.715894, 0.43883577, 0.37147138, -1.0569748, -0.5487261
223, 472085484, 0.3098414, 0.4486053, 0.71843106, 0.43198988, 0.37047586, -0.8463026, -0.99016476
